Date,Ticker,Close,14 Day Price Change,14 Day % Change,Tweet Volume,Sentiment
2014-12-26,MSFT,41.99567794799805,-0.605,-1.441,0,0.0
2014-12-26,META,80.77999877929688,-3.04,-3.763,4,0.6964285714285714
2014-12-26,GOOG,26.62840461730957,-1.888,-7.089,8,0.5062500000000001
2014-12-26,AMZN,15.454500198364258,-0.608,-3.934,2250,0.0977007536907536
2014-12-26,NFLX,48.57857131958008,-1.537,-3.164,7,0.0571428571428571
2014-12-27,MSFT,41.99567794799805,-0.605,-1.441,2,-0.15
2014-12-27,META,80.77999877929688,-3.04,-3.763,3,0.0666666666666666
2014-12-27,GOOG,26.62840461730957,-1.888,-7.089,9,0.037037037037037
2014-12-27,AMZN,15.454500198364258,-0.608,-3.934,1816,0.1200111984430621
2014-12-27,NFLX,48.57857131958008,-1.537,-3.164,13,0.0384615384615384
2014-12-28,MSFT,41.99567794799805,-0.605,-1.441,0,0.0
2014-12-28,META,80.77999877929688,-3.04,-3.763,2,-0.1166666666666666
2014-12-28,GOOG,26.62840461730957,-1.888,-7.089,10,0.1
2014-12-28,AMZN,15.454500198364258,-0.608,-3.934,1926,0.0924210641266364
2014-12-28,NFLX,48.57857131958008,-1.537,-3.164,6,0.0833333333333333
2014-12-29,MSFT,41.61851501464844,-0.746,-1.791,8,0.0625
2014-12-29,META,80.0199966430664,-3.3,-4.124,4,-0.1656249999999999
2014-12-29,GOOG,26.443910598754883,-1.884,-7.124,10,0.2
2014-12-29,AMZN,15.60200023651123,-1.031,-6.611,1819,0.0820830037321001
2014-12-29,NFLX,48.84714126586914,-3.3,-6.756,6,0.0833333333333333
2014-12-30,MSFT,41.241355895996094,-0.579,-1.404,4,0.0885
2014-12-30,META,79.22000122070312,-2.77,-3.497,6,0.2833333333333333
2014-12-30,GOOG,26.44839859008789,-1.707,-6.455,11,0.0255681818181818
2014-12-30,AMZN,15.515000343322754,-0.778,-5.015,1855,0.0987129849317349
2014-12-30,NFLX,49.03285598754883,-2.777,-5.664,12,0.0416666666666666
2014-12-31,MSFT,40.74141311645508,1.0,2.454,7,0.0357142857142857
2014-12-31,META,78.0199966430664,-1.74,-2.23,1,1.0
2014-12-31,GOOG,26.247949600219727,-1.273,-4.85,27,0.0138888888888888
